prognosis,hd
Fungal infection,Miconazole (Micaderm) cream.
Allergy," Decongestant,Antihistamine"
GERD,Omeprazole
Chronic cholestasis,Ursodeoxycholic acid
Drug Reaction,Antihistamines
Peptic ulcer diseae,Proton pump inhibitors
AIDS,Consult a Doctor
Diabetes ,Consult a Doctor
Gastroenteritis," loperamide link (Imodium) and bismuth subsalicylate link (Pepto-Bismol, Kaopectate).These medicines can be unsafe for infants and children."
Bronchial Asthma,Inhaled corticosteroids(anti-inflammatory drugs)
Hypertension ,"thiazide diuretics (chlorthalidone, hydrochlorothiazide)"
Migraine,"sumatriptan (Imitrex, Alsuma, Imitrex STATdose System, Sumavel DosePro, Zecuity, Treximet)"
Cervical spondylosis,Consult a Doctor
Paralysis (brain hemorrhage),toxicodendron
Jaundice,"steroids, antibiotics"
Malaria,Chloroquine
Chicken pox,acyclovir
Dengue,Consult a Doctor
Typhoid,ciprofloxacin
hepatitis A,Requires a medical diagnosis
Hepatitis B,Requires a medical diagnosis
Hepatitis C,Requires a medical diagnosis
Hepatitis D,Requires a medical diagnosis
Hepatitis E,Requires a medical diagnosis
Alcoholic hepatitis,Consult a doctor for medical advice
Tuberculosis,"Isoniazid,Rifampin"
Common Cold,paracetemol
Pneumonia,"Antiboitic,Penicillin"
Dimorphic hemmorhoids(piles),"Steroid, Local anesthetic and Dietary supplement"
Heart attack,Consult a Cardiologist
Varicose veins,Sclerotherapy
Hypothyroidism,"Levothyroxine,Liothyronine"
Hyperthyroidism,methimazole
Hypoglycemia,glucagon
Osteoarthristis,"Acetaminophen,Nonsteroidal anti-inflammatory drugs"
Arthritis,"Painkillers,Nonsteroidal anti-inflammatory drugs"
(vertigo) Paroymsal  Positional Vertigo, dimenhydrinate (Dramamine®) and meclizine (Bonine®)
Acne,Anti-inflammatory
Urinary tract infection,"Cephalexin (Keflex),Ceftriaxone."
Psoriasis,"Steroid, Vitamin A derivative, Anti-inflammatory, Immunosuppressive drug and Vitamin"
Impetigo,Penicillin and Antibiotics
