prognosis,home remidies
Fungal infection,"(1)Garlic is often used to treat infection. How to use:To use garlic as a treatment, make a paste of crushed garlic cloves by blending the garlic with some olive or coconut oil. Apply a thin layer of paste to the affected skin and cover with gauze. Leave in place for up to 2 hours before rinsing. Repeat twice daily until symptoms resolve. 
(2)Aloe vera contains six antiseptic agents that, according to research, exhibit antifungal, antibacterial, and antiviral activities.How to use:Apply the gel from an aloe vera plant onto the ringworm patch three or four times daily. The gel also has cooling properties, so it may soothe itchy and swollen skin.
(3)Coconut Oil  Certain fatty acids found in coconut oil may kill fungal cells by damaging their cell membranes.
(4)Turmeric:Turmeric is a popular spice with anti-inflammatory properties.How to use:mix it with a small amount of water or coconut oil until it forms a paste and apply this to the skin. Leave it to dry before wiping off."
Allergy,"(1)Oatmeal bath: How to use:Fill your bathtub with warm water.Mix one cup (or one packet) of colloidal oatmeal into the water.Immerse yourself in the water and soak for 30 minutes.Rinse off with a lukewarm shower.
(2) Aloe vera (fresh):  How to use:If you have an aloe plant, you can cut open a leaf, scrape out the gel, and apply it directly to the affected skin.Use aloe twice a day or more if your doctor advises it.
(3)Baking soda:Baking soda (sodium bicarbonate) is an old household remedy for itchy skin rashes, poison ivy, or bug bites. How to use : Put 1 to 2 cups of baking soda in a tub of lukewarm water and soak. Rinse off, pat dry, and use your moisturizer.You can also make a paste with a little water and baking soda and apply to the affected area.
"
GERD,"(1)Eat Fruit: And not just any fruit—bananas have natural antacid properties that counteract acid reflux. Eat a fully ripened banana each day to reduce the discomfort of acid coming back up. Another great fruit to try is an apple.
(2)Ginger Tea: Ginger tea is great for many stomach ailments, from the common stomachache to nausea to chronic acid reflux. "
Chronic cholestasis,"(1)Guar Gum
(2)Vitamin K 
(3)Vitamin D and Calcium 
(4)Avoid Alcohol and Certain Drugs"
Drug Reaction,Beware of using drugs
Peptic ulcer diseae,"(1)Probiotics: like yogurt and buttermilk.
(2)Honey
(3) Fruits, vegetables, and whole grains"
AIDS,Supplements to be avoided:Garlic Supplements that may Help:calcium and vitamin D to improve bone healthfish oil to reduce cholesterol
Diabetes ,"What to Eat and Do:  Cinnamon contains a bioactive compound that can help to fight and prevent diabetes. How to consume cinnamon- Mix half or one teaspoon of grounded cinnamon with warm water and have it once daily.- Boil raw cinnamon in 2 glasses of water. Let it cool for 30 minutes and have it daily.  Vitamin C is not only good for skin but also for diabetes. Exercise   Any kind of physical activity, be it yoga, Zumba, aerobics, gymming, playing sports can significantly improve blood sugar level by maintaining your weight"
Gastroenteritis,"(1) Apple Cider Vinegar: Add a tablespoon of raw apple cider vinegar to a cup of water. well and drink the solution.
(2) Yogurt: You can consume this once daily.
(3)Ginger: Add an inch of slicedginger to a cup of water.Bring it to a boil in a saucepan.Simmer for a few minutes and strain.You may drink ginger tea twice daily."
Bronchial Asthma,"(1)Papworth method
(2)Ginger
(3)Garlic
(4)yoga
(5)honey"
